Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
marcum-grey,Marcum Grey (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Medium Grey</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Grey Resin Button</p>",,,Physical,,TRUE,,,,,,,SQ9751130,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696644809-XG8PETPCJA3GYNT3GZEF/70EBCE31-B85E-49B5-A20C-58547A640D82_1_105_c.jpeg,11,Marcum Grey (Trouser),FALSE,Marcum Grey (Trouser),,,,,SQ9751130,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696644809-XG8PETPCJA3GYNT3GZEF/70EBCE31-B85E-49B5-A20C-58547A640D82_1_105_c.jpeg,g,,,TRUE,,,TRUE,,,active
marcum-grey-57lwy,Richard Blue (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Blue</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Charcoal Grey, Brown Real Horn</p>",,,Physical,,TRUE,,,,,,,SQ3741337,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696700425325-4MN48GIHRPK3EA7Z8R3J/1346AF63-E6CD-42CE-ABDE-ECA067DC0241_1_105_c.jpeg,12,Richard Blue (Trouser),FALSE,Richard Blue (Trouser),,,,,SQ3741337,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696700425325-4MN48GIHRPK3EA7Z8R3J/1346AF63-E6CD-42CE-ABDE-ECA067DC0241_1_105_c.jpeg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-d33zm-68x5z,Latte Brown (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Light Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Brown Corozo Button</p>",,,Physical,,TRUE,,,,,,,SQ5386138,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701074549-IO9EAJB6EE96DFS18QH8/WL2233006_Brown_Pant.jpg,13,Latte Brown (Trouser),FALSE,Latte Brown (Trouser),,,,,SQ5386138,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701074549-IO9EAJB6EE96DFS18QH8/WL2233006_Brown_Pant.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-y2mfh,Hershey Brown (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Chocolate Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons:  </em></strong>Brown Real Horn </p>",,,Physical,,TRUE,,,,,,,SQ4860088,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696021019204-A6KVOZCYY3681Z061FXI/7DD0CA6D-8C16-4E0E-9B3B-5DE576C2FF1E_1_105_c.jpeg,14,Hershey Brown (Trouser),FALSE,Hershey Brown (Trouser),,,,,SQ4860088,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696021019204-A6KVOZCYY3681Z061FXI/7DD0CA6D-8C16-4E0E-9B3B-5DE576C2FF1E_1_105_c.jpeg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-h57hy,Forest Green (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Forest Green</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Dark Brown Real Horn </p>",,,Physical,,TRUE,,,,,,,SQ7817674,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696020910305-JJ9IM2KXCV9BD46CV9HR/56061B3B-72CF-46F6-92BD-1C45049E069A_1_105_c.jpeg,15,Forest Green (Trouser),FALSE,Forest Green (Trouser),,,,,SQ7817674,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696020910305-JJ9IM2KXCV9BD46CV9HR/56061B3B-72CF-46F6-92BD-1C45049E069A_1_105_c.jpeg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-twg4f,Ecru Sand (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Ecru </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Ecru Urea Button</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,SQ8172675,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696017992524-1V5E3RT1ABM58NB1UGQG/BBCF5AC2-9547-461C-AD65-820F9174D7C5_1_201_a.jpeg,16,Ecru Sand (Trouser),FALSE,Ecru Sand (Trouser),,,,,SQ8172675,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696017992524-1V5E3RT1ABM58NB1UGQG/BBCF5AC2-9547-461C-AD65-820F9174D7C5_1_201_a.jpeg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-dd3bs,East Brown (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Copper Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Brown Real Horn </p>",,,Physical,,TRUE,,,,,,,SQ1165882,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701977075-QHPHNFFSTGPWD2TAUNJX/873F7CDC-AEF5-420A-8745-A164D6A7BAFB_1_105_c.jpg,17,East Brown (Trouser),FALSE,East Brown (Trouser),,,,,SQ1165882,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696701977075-QHPHNFFSTGPWD2TAUNJX/873F7CDC-AEF5-420A-8745-A164D6A7BAFB_1_105_c.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-46k93,Cobalt Blue (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Cobalt </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Charcoal, Brown Real Horn</p>",,,Physical,,TRUE,,,,,,,SQ6667772,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696016211941-FKLTFHSVB4ALHT2FWZXF/B15F0598-8DC4-4F18-86D6-5CF2FB07FB41_1_105_c.jpeg,18,Cobalt Blue (Trouser),FALSE,Cobalt Blue (Trouser),,,,,SQ6667772,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696016211941-FKLTFHSVB4ALHT2FWZXF/B15F0598-8DC4-4F18-86D6-5CF2FB07FB41_1_105_c.jpeg,g,,,TRUE,,,TRUE,,,active
barry-black-two-piece-suit-6ga7j,Barry Black (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Black</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Black Resin</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,SQ8380115,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696015748255-K2F070CCS0W2FEKJEB3O/CB3BC3FB-43BC-4D46-92CC-1A3D0C5D0F21_1_105_c.jpeg,19,Barry Black (Trouser),FALSE,Barry Black (Trouser),,,,,SQ8380115,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696015748255-K2F070CCS0W2FEKJEB3O/CB3BC3FB-43BC-4D46-92CC-1A3D0C5D0F21_1_105_c.jpeg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-zfcpx,Cloud Grey (Trouser),"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Light Grey</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons:  </em></strong>Grey Resin </p>",,,Physical,,TRUE,,,,,,,SQ2411682,,,,continue,manual,495.00,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696014035243-CL6UXWUFHJOCO88PAPTM/7D82E646-E61C-42A8-ADE4-D901F419E901_1_105_c.jpeg,20,Cloud Grey (Trouser),FALSE,Cloud Grey (Trouser),,,,,SQ2411682,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696014035243-CL6UXWUFHJOCO88PAPTM/7D82E646-E61C-42A8-ADE4-D901F419E901_1_105_c.jpeg,g,,,TRUE,,,TRUE,,,active
